Model,n_predictors,AIC,BIC
log_population + median_age + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,29.524101411939252,41.115055208285206
log_population + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,4,29.82452878159716,39.48365694521878
log_population + birth_rate + health_insurance_coverage_pct + median_rent,4,30.111326085219552,39.770454248841176
log_population + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,30.263467584988053,41.85442138133401
log_population + median_age + health_insurance_coverage_pct + median_rent,4,30.276106085496124,39.935234249117755
log_total_area + log_population + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,30.805880379261435,42.39683417560739
log_total_area + birth_rate + hdi + unemployment_rate_pct,4,30.81652779550914,40.47565595913076
log_population + median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,30.8165816628363,44.33936109190658
median_age + health_insurance_coverage_pct + median_rent,3,30.882244067059393,38.609546597956694
log_total_area + log_population + birth_rate + hdi + unemployment_rate_pct,5,30.96040624382355,42.5513600401695
log_total_area + hdi + unemployment_rate_pct,3,30.994691637620416,38.72199416851772
birth_rate + health_insurance_coverage_pct + median_rent,3,31.05828921721302,38.78559174811032
log_total_area + log_population + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,31.099732864999638,44.62251229406992
log_total_area + birth_rate + health_insurance_coverage_pct + median_rent,4,31.170490486819507,40.829618650441134
log_total_area + log_population + hdi + unemployment_rate_pct,4,31.358476710308274,41.0176048739299
log_total_area + log_population + birth_rate + health_insurance_coverage_pct + median_rent,5,31.461141818279955,43.05209561462591
log_total_area + log_population + median_age + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,31.462498821120874,44.98527825019116
log_population + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,31.507319691067558,45.030099120137834
log_population + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,31.548243689883105,43.13919748622906
log_total_area + health_insurance_coverage_pct + median_rent,3,31.578352674074047,39.30565520497135
log_population + median_age + birth_rate + health_insurance_coverage_pct + median_rent,5,31.589458066863607,43.18041186320956
log_total_area + log_population + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,31.66056333682461,45.18334276589489
health_insurance_coverage_pct + median_rent,2,31.71609998446691,37.511576882639886
log_population + health_insurance_coverage_pct + median_rent,3,31.7659560607372,39.4932585916345
log_total_area + log_population + hdi + unemployment_rate_pct + health_insurance_coverage_pct,5,31.913108117037844,43.504061913383794
log_population + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,32.05783683577731,45.58061626484759
log_total_area + hdi + unemployment_rate_pct + health_insurance_coverage_pct,4,32.06540945558497,41.7245376192066
log_population + birth_rate + hdi + health_insurance_coverage_pct + median_rent,5,32.085130021105286,43.676083817451236
median_age + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,4,32.14468711953374,41.80381528315537
log_total_area + median_age + health_insurance_coverage_pct + median_rent,4,32.1552737797638,41.81440194338543
log_total_area + log_population + median_age + health_insurance_coverage_pct + median_rent,5,32.211834160401395,43.802787956747345
log_total_area + median_age + hdi + unemployment_rate_pct,4,32.22972128770985,41.888849451331474
log_total_area + log_population + median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,7,32.23532584492821,47.68993090672282
log_population + median_age + hdi + health_insurance_coverage_pct + median_rent,5,32.273936150397006,43.86488994674296
log_total_area + log_population + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,6,32.32512169536814,45.84790112443842
log_total_area + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,5,32.3478624088478,43.93881620519376
log_total_area + log_population + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,7,32.42150174001338,47.87610680180799
median_age + birth_rate + health_insurance_coverage_pct + median_rent,4,32.49986603200566,42.15899419562729
log_total_area + log_population + health_insurance_coverage_pct + median_rent,4,32.55759535981074,42.216723523432364
log_total_area + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,4,32.561957945350755,42.221086108972386
log_total_area + log_population + median_age + hdi + unemployment_rate_pct,5,32.64547334993383,44.23642714627978
birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,4,32.69154070192521,42.35066886554684
log_total_area + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,32.761315542393824,44.352269338739774
log_total_area + birth_rate + hdi + unemployment_rate_pct + median_rent,5,32.794442264063875,44.385396060409825
log_total_area + log_population + birth_rate + hdi + unemployment_rate_pct + median_rent,6,32.79734281828655,46.320122247356835
log_population + median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,7,32.81296212145047,48.26756718324508
median_age + hdi + health_insurance_coverage_pct + median_rent,4,32.81417614904639,42.47330431266802
log_total_area + median_age + birth_rate + hdi + unemployment_rate_pct,5,32.81591391668408,44.40686771303004
unemployment_rate_pct + health_insurance_coverage_pct + median_rent,3,32.81708545873593,40.544387989633236
log_total_area + birth_rate + hdi + median_rent,4,32.82440928430198,42.4835374479236
log_total_area + birth_rate + hdi + health_insurance_coverage_pct + median_rent,5,32.857716182953666,44.44866997929962
log_total_area + log_population + hdi + unemployment_rate_pct + median_rent,5,32.91332370394991,44.504277500295856
birth_rate + hdi + health_insurance_coverage_pct + median_rent,4,32.93385500641163,42.592983170033264
log_total_area + log_population + median_age + birth_rate + hdi + unemployment_rate_pct,6,32.95523571491694,46.478015143987214
log_total_area + hdi + unemployment_rate_pct + median_rent,4,32.95971199143476,42.61884015505639
log_population + median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct,5,32.96757516931273,44.55852896565868
log_total_area + log_population + median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct,6,32.97284542593658,46.49562485500687
log_total_area + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.098997533598194,44.68995132994415
log_total_area + median_age + birth_rate + health_insurance_coverage_pct + median_rent,5,33.170463678727174,44.761417475073124
log_total_area + birth_rate + hdi,3,33.17240724796036,40.89970977885766
log_total_area + median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct,5,33.21381461405168,44.80476841039763
log_total_area + hdi + health_insurance_coverage_pct + median_rent,4,33.23284500933373,42.89197317295536
log_total_area + log_population + birth_rate + hdi + health_insurance_coverage_pct + median_rent,6,33.25642527486484,46.77920470393512
log_total_area + log_population + median_age + birth_rate + health_insurance_coverage_pct + median_rent,6,33.348088805984325,46.8708682350546
log_total_area + median_age + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.403440241896526,44.994394038242476
log_total_area + log_population + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,7,33.40587367218947,48.860478733984074
hdi + health_insurance_coverage_pct + median_rent,3,33.461091342673626,41.18839387357093
log_population + median_age + birth_rate + hdi + health_insurance_coverage_pct + median_rent,6,33.5467420161,47.06952144517028
median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct,4,33.55205524537037,43.211183408992
median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.577885634382255,45.16883943072821
log_total_area + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,33.67048031932714,47.19325974839742
log_population + hdi + health_insurance_coverage_pct + median_rent,4,33.72465482168671,43.383782985308336
median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.977572842977175,45.568526639323125
log_total_area + median_age + hdi + health_insurance_coverage_pct + median_rent,5,34.01087692725301,45.601830723598965
